iter	 posterior	 likelihood	 prior	 mu_pandas	 sigma_pandas 	 mu_bears 	 sigma_bears 	 alpha 	 beta 	 mu_diff
45	1.0652295535950174	-60.31212195536608	-26.646878880488245	86.30585211980288	11.238602024495485	67.70294310072137	10.388510691344763	0.9190160209807209	0.22748991259096785	18.60290901908151
46	1.0652295535950174	-60.31212195536608	-26.646878880488245	86.30585211980288	11.238602024495485	67.70294310072137	10.388510691344763	0.9190160209807209	0.22748991259096785	18.60290901908151
47	2.9228638262950426	-58.468378985665595	-25.567758023893692	88.2140918750561	10.745066181855337	68.65603322388475	11.13945776628633	0.9469559149586334	0.13401942685706314	19.55805865117135
48	2.9228638262950426	-58.468378985665595	-25.567758023893692	88.2140918750561	10.745066181855337	68.65603322388475	11.13945776628633	0.9469559149586334	0.13401942685706314	19.55805865117135
49	2.9228638262950426	-58.468378985665595	-25.567758023893692	88.2140918750561	10.745066181855337	68.65603322388475	11.13945776628633	0.9469559149586334	0.13401942685706314	19.55805865117135
50	2.9228638262950426	-58.468378985665595	-25.567758023893692	88.2140918750561	10.745066181855337	68.65603322388475	11.13945776628633	0.9469559149586334	0.13401942685706314	19.55805865117135
51	2.9228638262950426	-58.468378985665595	-25.567758023893692	88.2140918750561	10.745066181855337	68.65603322388475	11.13945776628633	0.9469559149586334	0.13401942685706314	19.55805865117135
52	2.9228638262950426	-58.468378985665595	-25.567758023893692	88.2140918750561	10.745066181855337	68.65603322388475	11.13945776628633	0.9469559149586334	0.13401942685706314	19.55805865117135
53	2.9228638262950426	-58.468378985665595	-25.567758023893692	88.2140918750561	10.745066181855337	68.65603322388475	11.13945776628633	0.9469559149586334	0.13401942685706314	19.55805865117135
54	2.9228638262950426	-58.468378985665595	-25.567758023893692	88.2140918750561	10.745066181855337	68.65603322388475	11.13945776628633	0.9469559149586334	0.13401942685706314	19.55805865117135
55	-0.04152603965776791	-58.48968244264388	-25.587980606573165	88.82711333959466	10.009719869405064	70.42711565881781	10.438668297622751	1.24233779795214	0.2305127671597964	18.39999768077685
56	-0.4897175308622934	-59.02763878974718	-25.53974179033217	89.47212836033246	10.38955817353247	68.84378961462515	9.619729777424526	1.1234762361764514	0.20835410914441221	20.62833874570731
57	-0.07252311114018539	-59.243852742018674	-25.39605094920086	90.43947901358077	11.02775772435789	67.41479863246079	9.29655405758367	0.8196269896020701	0.06439110113093638	23.02468038111998
58	-0.07252311114018539	-59.243852742018674	-25.39605094920086	90.43947901358077	11.02775772435789	67.41479863246079	9.29655405758367	0.8196269896020701	0.06439110113093638	23.02468038111998
